,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
international office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
software engineering research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cookie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
president of the university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
computer science research awards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semantic similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiger bike's current offer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
where is the library located?,http://www.memphis.edu/libraries/&sa=U&ved=0ahUKEwiZv527gv_XAhXl3YMKHfBQAQgQFggUMAA&usg=AOvVaw37dIyjIP6HTpnueLo--BMR,http://www.memphis.edu/libraries/about/hours/&sa=U&ved=0ahUKEwiZv527gv_XAhXl3YMKHfBQAQgQFgg6MAQ&usg=AOvVaw3Nel-Vwfm9GfplHRiMHgCH,http://www.memphis.edu/libraries/resources/&sa=U&ved=0ahUKEwiZv527gv_XAhXl3YMKHfBQAQgQFghBMAU&usg=AOvVaw3QM_GXMU2OSK2mNP56K_jc,http://www.memphis.edu/libraries/musiclibrary/index.php&sa=U&ved=0ahUKEwiZv527gv_XAhXl3YMKHfBQAQgQFghHMAY&usg=AOvVaw0Ts4rL5TtH7zyVxOL0odIu,https://sierra.memphis.edu/&sa=U&ved=0ahUKEwiZv527gv_XAhXl3YMKHfBQAQgQFghNMAc&usg=AOvVaw1zM2ni1pzhDmjcWAuuOTdp,http://www.memphis.edu/libraries/about/departments.php&sa=U&ved=0ahUKEwiZv527gv_XAhXl3YMKHfBQAQgQFghUMAg&usg=AOvVaw0lTot7JuzKsNNSTCOGoSmb,http://www.memphis.edu/innovation/collierville/&sa=U&ved=0ahUKEwiZv527gv_XAhXl3YMKHfBQAQgQFghaMAk&usg=AOvVaw0jYZJfCvCBZSQQN6GepcYl,http://www.memphis.edu/libraries/services/print.php&sa=U&ved=0ahUKEwiZv527gv_XAhXl3YMKHfBQAQgQFghgMAo&usg=AOvVaw3jW9AV3-_qIJ1KQh-lbvCP,http://www.memphis.edu/libraries/hslibrary/&sa=U&ved=0ahUKEwiZv527gv_XAhXl3YMKHfBQAQgQFghmMAs&usg=AOvVaw1SF99Vp5ZzuznrUCzg3S30,http://www.memphis.edu/law/library/&sa=U&ved=0ahUKEwiZv527gv_XAhXl3YMKHfBQAQgQFghsMAw&usg=AOvVaw0A5qzuC79iewv2mSn0yj5W,http://www.memphis.edu/law/library/&sa=U&ved=0ahUKEwii0YO-gv_XAhXq4IMKHeynAfk4ChAWCBQwAA&usg=AOvVaw1Vr7oxUdMzJ3qpD6-Q3oj1,http://www.memphis.edu/libraries/special-collections/&sa=U&ved=0ahUKEwii0YO-gv_XAhXq4IMKHeynAfk4ChAWCBowAQ&usg=AOvVaw1JGJMCiNULdKEaFM3mUh4U,https://map.memphis.edu/&sa=U&ved=0ahUKEwii0YO-gv_XAhXq4IMKHeynAfk4ChAWCCAwAg&usg=AOvVaw3HdXxMMcjUczCdmuroIX3F,http://www.memphis.edu/&sa=U&ved=0ahUKEwii0YO-gv_XAhXq4IMKHeynAfk4ChAWCCYwAw&usg=AOvVaw1o8nnKaJVKnHESv2cvjUCD,http://www.memphis.edu/cwc/&sa=U&ved=0ahUKEwii0YO-gv_XAhXq4IMKHeynAfk4ChAWCCwwBA&usg=AOvVaw2bf0SLU-AsLaclvcN9cuAd,http://www.memphis.edu/libraries/special-collections/staff.php&sa=U&ved=0ahUKEwii0YO-gv_XAhXq4IMKHeynAfk4ChAWCDIwBQ&usg=AOvVaw1yV63BIu2_Qb2XliXQx4Gj,http://iprint.memphis.edu/&sa=U&ved=0ahUKEwii0YO-gv_XAhXq4IMKHeynAfk4ChAWCDgwBg&usg=AOvVaw0sNXJQNx94qgtpou4FHkhh,http://catalog.memphis.edu/content.php%3Fcatoid%3D4%26navoid%3D116&sa=U&ved=0ahUKEwii0YO-gv_XAhXq4IMKHeynAfk4ChAWCD4wBw&usg=AOvVaw3ZDgn7xCImYscBx-ynMIbV,http://www.memphis.edu/bursar/&sa=U&ved=0ahUKEwii0YO-gv_XAhXq4IMKHeynAfk4ChAWCEMwCA&usg=AOvVaw0QEtVpaG7nRZMUHl7mpNa3,http://catalog.memphis.edu/preview_program.php%3Fcatoid%3D4%26poid%3D898%26returnto%3D99&sa=U&ved=0ahUKEwii0YO-gv_XAhXq4IMKHeynAfk4ChAWCEkwCQ&usg=AOvVaw0qcBnkbnc6Z89TJvWYmC6A,http://www.memphis.edu/financialaid/&sa=U&ved=0ahUKEwiY9uzAgv_XAhVl4oMKHScPBDo4FBAWCBQwAA&usg=AOvVaw3dJCzxT2hwJQ64Q_xUcmDc,http://libguides.memphis.edu/healthsportsciences&sa=U&ved=0ahUKEwiY9uzAgv_XAhVl4oMKHScPBDo4FBAWCBowAQ&usg=AOvVaw1qUOr26F5YNd2BxtQjT8Jg,http://www.memphis.edu/sph/&sa=U&ved=0ahUKEwiY9uzAgv_XAhVl4oMKHScPBDo4FBAWCB0wAg&usg=AOvVaw1HjeqvtolrQiq0AX6sQXln,http://www.memphislibrary.org/&sa=U&ved=0ahUKEwiY9uzAgv_XAhVl4oMKHScPBDo4FBAWCCMwAw&usg=AOvVaw24pezVdUSoM85oGtCo1_aF,http://www.memphislibrary.org/about/locations/&sa=U&ved=0ahUKEwiY9uzAgv_XAhVl4oMKHScPBDo4FBAWCCkwBA&usg=AOvVaw3IVd-_SNHiDbf46rl6bXoO,http://www.memphislibrary.org/about/locations/bartlett-library/&sa=U&ved=0ahUKEwiY9uzAgv_XAhVl4oMKHScPBDo4FBAWCC8wBQ&usg=AOvVaw2So3-zMdpkeGIEPQAOpDMG,https://en.wikipedia.org/wiki/Memphis_Public_Library&sa=U&ved=0ahUKEwiY9uzAgv_XAhVl4oMKHScPBDo4FBAWCDUwBg&usg=AOvVaw3fOmmrXSvRQ0dzEkMhgh9G,https://www.rhodes.edu/hr/&sa=U&ved=0ahUKEwiY9uzAgv_XAhVl4oMKHScPBDo4FBAWCDswBw&usg=AOvVaw06g0GzMC_1edFujRM0KonP,http://www.southwest.tn.edu/&sa=U&ved=0ahUKEwiY9uzAgv_XAhVl4oMKHScPBDo4FBAWCEAwCA&usg=AOvVaw0ky8NsMXvp2QKtMVkhSXL3,https://memphis.campusdish.com/Locations/EinsteinBrosBagels.aspx&sa=U&ved=0ahUKEwiY9uzAgv_XAhVl4oMKHScPBDo4FBAWCEYwCQ&usg=AOvVaw1PMJNwsH5LwWAk6mmTSRz5,http://www.tnla.org/%3Fpage%3Dtl65_2_maps&sa=U&ved=0ahUKEwj7oMTDgv_XAhWIyoMKHR1rA7w4HhAWCBQwAA&usg=AOvVaw3MP38JQSXDeZVh2Ya0Lvcc,https://library.uthsc.edu/&sa=U&ved=0ahUKEwj7oMTDgv_XAhWIyoMKHR1rA7w4HhAWCBkwAQ&usg=AOvVaw3u1l_3VeykrQPgPIvF9AN_,http://memphisseminary.edu/student-resources/mts-library/&sa=U&ved=0ahUKEwj7oMTDgv_XAhWIyoMKHR1rA7w4HhAWCB8wAg&usg=AOvVaw0LRqu2C6WzSElymXnB6mvZ,/books.google.com/books?id=CzKeBQAAQBAJ&pg=PA16&lpg=PA16&dq=where+is+the+library+located?+site:+memphis.edu&source=bl&ots=Rg3MgMvb7c&sig=FJtfXTr-fqTqYf13U0rNv0iaCEg&hl=en&sa=X&ved=0ahUKEwj7oMTDgv_XAhWIyoMKHR1rA7w4HhDoAQglMAM,https://www.bellevue.org/library&sa=U&ved=0ahUKEwj7oMTDgv_XAhWIyoMKHR1rA7w4HhAWCCkwBA&usg=AOvVaw04hkmiJW5tgRhyUSy8pCW-,https://locations.einsteinbros.com/ll/US/TN/Memphis/126-Ned-R-McWherter&sa=U&ved=0ahUKEwj7oMTDgv_XAhWIyoMKHR1rA7w4HhAWCC8wBQ&usg=AOvVaw2nSA39BdPvi5QOWGC-yYf8,https://www.linkedin.com/jobs/view/volunteer-website-development-consultant-for-ganga-library-inc.-at-taproot-foundation-444962073&sa=U&ved=0ahUKEwj7oMTDgv_XAhWIyoMKHR1rA7w4HhAWCDUwBg&usg=AOvVaw2SfhQ-uGQmVugepXAMbRUQ,http://colliervillelibrary.org/&sa=U&ved=0ahUKEwj7oMTDgv_XAhWIyoMKHR1rA7w4HhAWCDgwBw&usg=AOvVaw0igRN-Bx0f8eh1GXl97CDz,https://www.germantown-tn.gov/services/library&sa=U&ved=0ahUKEwj7oMTDgv_XAhWIyoMKHR1rA7w4HhAWCD4wCA&usg=AOvVaw2fcN9CkudatfZXM8ldLidj,https://www.cityofbartlett.org/605/Bartlett-Library&sa=U&ved=0ahUKEwj7oMTDgv_XAhWIyoMKHR1rA7w4HhAWCEMwCQ&usg=AOvVaw18z0EhbBy-b4tmjovZNUuW,https://www.cbu.edu/library&sa=U&ved=0ahUKEwjJvJrGgv_XAhVo4IMKHUeiCT84KBAWCBQwAA&usg=AOvVaw2DkiCrippAlrJ0lx9tg7XB,http://harringtonlc.org/memphis/&sa=U&ved=0ahUKEwjJvJrGgv_XAhVo4IMKHUeiCT84KBAWCBowAQ&usg=AOvVaw2WzcCgrG6R5bMzaVmRlFm0,https://twitter.com/mem_library%3Flang%3Den&sa=U&ved=0ahUKEwjJvJrGgv_XAhVo4IMKHUeiCT84KBAWCCAwAg&usg=AOvVaw0v7HlhivVoUzXNJJKMfTcV,https://nb.wordpress.org/plugins/memphis-documents-library/&sa=U&ved=0ahUKEwjJvJrGgv_XAhVo4IMKHUeiCT84KBAWCCYwAw&usg=AOvVaw0JVDxxXjk_TuaAOFbf5PNU,https://fi.wordpress.org/plugins/memphis-documents-library/&sa=U&ved=0ahUKEwjJvJrGgv_XAhVo4IMKHUeiCT84KBAWCCwwBA&usg=AOvVaw0Bc_s1mW5ce8r9R8lBspRs,http://www.literacymidsouth.org/resources/resource-map/memphis-public-library--information-center-bartlett/&sa=U&ved=0ahUKEwjJvJrGgv_XAhVo4IMKHUeiCT84KBAWCDIwBQ&usg=AOvVaw0Bcst-Vot48oWutaQwd6Sx,http://westmemphislibrary.org/&sa=U&ved=0ahUKEwjJvJrGgv_XAhVo4IMKHUeiCT84KBAWCDgwBg&usg=AOvVaw2BEaMomyNI_m4fHn7kDFcs,http://crdl.usg.edu/export/html/mcrrc/iots/crdl_mcrrc_iots.html&sa=U&ved=0ahUKEwjJvJrGgv_XAhVo4IMKHUeiCT84KBAWCD4wBw&usg=AOvVaw3vSySxItizv-dezhfVM29m,https://www.usnews.com/best-graduate-schools/top-law-schools/university-of-memphis-humphreys-03145&sa=U&ved=0ahUKEwjJvJrGgv_XAhVo4IMKHUeiCT84KBAWCEQwCA&usg=AOvVaw312wlfYzBhOzUm0T_iE_N4,http://www.commercialappeal.com/story/news/local/the-901/2017/09/15/memphis-public-library-invites-users-start-here/669365001/&sa=U&ved=0ahUKEwjJvJrGgv_XAhVo4IMKHUeiCT84KBAWCEowCQ&usg=AOvVaw1BxxnrZxYoWcVU1XbqNbJu,http://www.libraries.olemiss.edu/uml/maps-and-directions/library-locations&sa=U&ved=0ahUKEwi7l_nIgv_XAhVGw4MKHZZsDDI4MhAWCBQwAA&usg=AOvVaw0ddcLc7_QeQKDZdHbGhIaJ,https://www.librarything.com/venue/7026/Memphis-Public-Library-Information-Center-Benjamin-L-Hooks-Central-Library&sa=U&ved=0ahUKEwi7l_nIgv_XAhVGw4MKHZZsDDI4MhAWCBowAQ&usg=AOvVaw37AIe4jKS2hi5IRouUfF_e,https://www.belhaven.edu/pdfs/Library-Handbook.pdf&sa=U&ved=0ahUKEwi7l_nIgv_XAhVGw4MKHZZsDDI4MhAWCCAwAg&usg=AOvVaw3jhPSF0yTT0Sw7jppW-379,https://library.municode.com/tn/memphis/codes/code_of_ordinances%3FnodeId%3DTIT12STSIPUPL_CH12-4STGE&sa=U&ved=0ahUKEwi7l_nIgv_XAhVGw4MKHZZsDDI4MhAWCCUwAw&usg=AOvVaw25Lwy69xkY20C0uMx4Z518,/books.google.com/books?id=NJRGAQAAIAAJ&pg=PA340&lpg=PA340&dq=where+is+the+library+located?+site:+memphis.edu&source=bl&ots=H2Yinml-0l&sig=nUASpaibde9mT_W8BD4I6NNDeA8&hl=en&sa=X&ved=0ahUKEwi7l_nIgv_XAhVGw4MKHZZsDDI4MhDoAQgqMAQ,https://www.asumidsouth.edu/students/library/&sa=U&ved=0ahUKEwi7l_nIgv_XAhVGw4MKHZZsDDI4MhAWCCwwBQ&usg=AOvVaw0t32qJcd0J1aPMh3x5zEWW,https://www.sco.edu/library&sa=U&ved=0ahUKEwi7l_nIgv_XAhVGw4MKHZZsDDI4MhAWCDEwBg&usg=AOvVaw1D51ZVGBM71gEjLK_m2i4a,http://www.campusschool.org/&sa=U&ved=0ahUKEwi7l_nIgv_XAhVGw4MKHZZsDDI4MhAWCDcwBw&usg=AOvVaw0aYMS_sL9V0IPY_sFZvKC2,http://inalj.com/%3Fpage_id%3D56432&sa=U&ved=0ahUKEwi7l_nIgv_XAhVGw4MKHZZsDDI4MhAWCD0wCA&usg=AOvVaw3Y9WNYwRhgKRpAphGKTNu9,https://www.musowls.org/page/academics/library&sa=U&ved=0ahUKEwi7l_nIgv_XAhVGw4MKHZZsDDI4MhAWCEMwCQ&usg=AOvVaw0uTcEapvjXxu1whdKNOswa,http://www.loc.edu/&sa=U&ved=0ahUKEwiKpNHLgv_XAhVo7oMKHTqxApE4PBAWCBQwAA&usg=AOvVaw0usEraarvwJQ3QQof_Fnf_,http://onlinelibrary.wiley.com/doi/10.1111/sjp.12166/full&sa=U&ved=0ahUKEwiKpNHLgv_XAhVo7oMKHTqxApE4PBAWCBowAQ&usg=AOvVaw0fZiGHnK4oKRHxsk4P1KNs,https://www.stjude.org/research/shared-resources/biomedical-library.html&sa=U&ved=0ahUKEwiKpNHLgv_XAhVo7oMKHTqxApE4PBAWCB0wAg&usg=AOvVaw1wlE7nwJ6ch4uvMJ6Lyill,http://library.ifla.org/1011/1/151-mehra-en.pdf&sa=U&ved=0ahUKEwiKpNHLgv_XAhVo7oMKHTqxApE4PBAWCCMwAw&usg=AOvVaw0btKkjnlCWbSpCIwZgbEkg,https://www.lsac.org/officialguide/2013/lsac_1459.asp&sa=U&ved=0ahUKEwiKpNHLgv_XAhVo7oMKHTqxApE4PBAWCCowBA&usg=AOvVaw1WqJUZApDSePXkyujhim-3,http://www.webster.edu/memphis/&sa=U&ved=0ahUKEwiKpNHLgv_XAhVo7oMKHTqxApE4PBAWCC8wBQ&usg=AOvVaw2iRTZH02IcJU-vmdiQruxD,http://www.sccl.lib.mi.us/&sa=U&ved=0ahUKEwiKpNHLgv_XAhVo7oMKHTqxApE4PBAWCDUwBg&usg=AOvVaw3mb-ikB9gt5-4P2vyiLdXq,http://www.millingtonpubliclibrary.org/&sa=U&ved=0ahUKEwiKpNHLgv_XAhVo7oMKHTqxApE4PBAWCDswBw&usg=AOvVaw0-nhakOyTaY2saIWbgjP8K,/books.google.com/books?id=FV1LAQAAMAAJ&pg=PT536&lpg=PT536&dq=where+is+the+library+located?+site:+memphis.edu&source=bl&ots=snazKFZCbJ&sig=VTe1TycJEgE68Bh2h0bwqJkfstk&hl=en&sa=X&ved=0ahUKEwiKpNHLgv_XAhVo7oMKHTqxApE4PBDoAQhBMAg,http://www.tnpress.com/legal_links.html&sa=U&ved=0ahUKEwiKpNHLgv_XAhVo7oMKHTqxApE4PBAWCEMwCQ&usg=AOvVaw0j-k50TLJtW20omF8BH62z,http://www.deltastate.edu/&sa=U&ved=0ahUKEwjr2KbOgv_XAhXr7oMKHU9jBwk4RhAWCBQwAA&usg=AOvVaw3_vhUlCV6ChRTfe2vUotle,https://www.younglife.org/&sa=U&ved=0ahUKEwjr2KbOgv_XAhXr7oMKHU9jBwk4RhAWCBowAQ&usg=AOvVaw3lnFX03q75p71Yzvg1Yyxu,https://www.utc.edu/&sa=U&ved=0ahUKEwjr2KbOgv_XAhXr7oMKHU9jBwk4RhAWCCAwAg&usg=AOvVaw1qXAwD6JHYSvEI1fgTjwO7,http://www.grand-island.com/&sa=U&ved=0ahUKEwjr2KbOgv_XAhXr7oMKHU9jBwk4RhAWCCYwAw&usg=AOvVaw32CJMXwyUD2BpbqKR_0bGN,https://www.varsity.com/&sa=U&ved=0ahUKEwjr2KbOgv_XAhXr7oMKHU9jBwk4RhAWCCwwBA&usg=AOvVaw3mOBZXZTm-lIEvrrCUI0U9,https://www.unh.edu/&sa=U&ved=0ahUKEwjr2KbOgv_XAhXr7oMKHU9jBwk4RhAWCDIwBQ&usg=AOvVaw0dMoIU71j-Y0J9Tw1sXCtK,https://www.etsu.edu/&sa=U&ved=0ahUKEwjr2KbOgv_XAhXr7oMKHU9jBwk4RhAWCDcwBg&usg=AOvVaw3kU5XccM76cc3OYWNVRwK1,http://www.phoenix.edu/&sa=U&ved=0ahUKEwjr2KbOgv_XAhXr7oMKHU9jBwk4RhAWCDwwBw&usg=AOvVaw3-1uk1aHXFf5voBlLWFWp8,https://www.faa.gov/&sa=U&ved=0ahUKEwjr2KbOgv_XAhXr7oMKHU9jBwk4RhAWCEIwCA&usg=AOvVaw2fqndkES-AsORMMoyzypkj,http://drexel.edu/&sa=U&ved=0ahUKEwjr2KbOgv_XAhXr7oMKHU9jBwk4RhAWCEgwCQ&usg=AOvVaw1Qe08ArKRYpXoGjZcXOfQH,https://www.ucf.edu/&sa=U&ved=0ahUKEwjbw4jRgv_XAhVL7oMKHYh8Cd04UBAWCBQwAA&usg=AOvVaw3tkteQFOXUijAeztG_4zm_,https://www.hamline.edu/&sa=U&ved=0ahUKEwjbw4jRgv_XAhVL7oMKHYh8Cd04UBAWCBowAQ&usg=AOvVaw32h_I8Q2EzNaHEZaNxDiqE,http://www.usace.army.mil/&sa=U&ved=0ahUKEwjbw4jRgv_XAhVL7oMKHYh8Cd04UBAWCB8wAg&usg=AOvVaw3FI3lFntRG65acE_g6TMut,https://www.utm.edu/&sa=U&ved=0ahUKEwjbw4jRgv_XAhVL7oMKHYh8Cd04UBAWCCUwAw&usg=AOvVaw2MLhmS2e2aBfU7uSNEyOFd,https://www.ets.org/praxis/register/centers_dates&sa=U&ved=0ahUKEwjbw4jRgv_XAhVL7oMKHYh8Cd04UBAWCCswBA&usg=AOvVaw2DFKlIsQLXRm02H0wCcMYS,http://www.quiznos.com/&sa=U&ved=0ahUKEwjbw4jRgv_XAhVL7oMKHYh8Cd04UBAWCDEwBQ&usg=AOvVaw2pL0dC8nRIxKdH_40el_zO,http://www.lifeway.com/&sa=U&ved=0ahUKEwjbw4jRgv_XAhVL7oMKHYh8Cd04UBAWCDcwBg&usg=AOvVaw0H-Gt1R24leD_GKPq2eZCU,https://www.fit.edu/&sa=U&ved=0ahUKEwjbw4jRgv_XAhVL7oMKHYh8Cd04UBAWCD0wBw&usg=AOvVaw0nTFB028ZHZ2s1SjD8qB4E,https://www.autozone.com/&sa=U&ved=0ahUKEwjbw4jRgv_XAhVL7oMKHYh8Cd04UBAWCEIwCA&usg=AOvVaw1ACsLVtGTJqog7LJcbxSwR,https://www.riteaid.com/&sa=U&ved=0ahUKEwjbw4jRgv_XAhVL7oMKHYh8Cd04UBAWCEcwCQ&usg=AOvVaw0XP7vlKU0m-lsaneS5a49f,http://www.biltmore.com/&sa=U&ved=0ahUKEwiF_N_Tgv_XAhXK5IMKHds7ADw4WhAWCBQwAA&usg=AOvVaw0yEPZE9AnzxYCrILBxjpTY,https://www.metlife.com/&sa=U&ved=0ahUKEwiF_N_Tgv_XAhXK5IMKHds7ADw4WhAWCBowAQ&usg=AOvVaw2vKVM-Yj_RMGKX8ADvriIU,https://www.agilent.com/&sa=U&ved=0ahUKEwiF_N_Tgv_XAhXK5IMKHds7ADw4WhAWCCAwAg&usg=AOvVaw3q5goJagaivoaw7JKE9bjP,http://www.sbc.net/&sa=U&ved=0ahUKEwiF_N_Tgv_XAhXK5IMKHds7ADw4WhAWCCYwAw&usg=AOvVaw3X62PE4kB_IIC7sz5RMKdF,https://www.legion.org/&sa=U&ved=0ahUKEwiF_N_Tgv_XAhXK5IMKHds7ADw4WhAWCCwwBA&usg=AOvVaw0_PHIdBHF-8xBbGuJ69bMO,http://semla.musiclibraryassoc.org/brevenotes/BN81.pdf&sa=U&ved=0ahUKEwiF_N_Tgv_XAhXK5IMKHds7ADw4WhAWCDIwBQ&usg=AOvVaw3TgRRqYFlLfWZjX1csb889,https://chroniclingamerica.loc.gov/newspapers/&sa=U&ved=0ahUKEwiF_N_Tgv_XAhXK5IMKHds7ADw4WhAWCDcwBg&usg=AOvVaw2fqqM2HZjvSqViu0atrfTP,http://www.wallacestate.edu/Content/Uploads/wallacestate.edu/files/Genealogy/Civil_War_Internet_Research.pdf&sa=U&ved=0ahUKEwiF_N_Tgv_XAhXK5IMKHds7ADw4WhAWCDwwBw&usg=AOvVaw2zJwYl0C9uNr2YQuWDzukL,https://www.pinotspalette.com/painting-library&sa=U&ved=0ahUKEwiF_N_Tgv_XAhXK5IMKHds7ADw4WhAWCEEwCA&usg=AOvVaw3gJoDFaNYN_YZPbhpqqjUs,http://mca.edu/memphis-college-of-art-students-design-new-library-card/&sa=U&ved=0ahUKEwiF_N_Tgv_XAhXK5IMKHds7ADw4WhAWCEYwCQ&usg=AOvVaw0fFt0XgcumJrNhJQKwEwVu
